t,I,V,variacao_relativa,massa_g,ocr_bruto,estrategia,correcao,rotulo
0.6724934577941895,2.011316792049911e-05,0.5,-0.0054548587881717,0.0,0.0,nenhuma,ocr_aceito,2
1.1963835954666138,2.016146572714206e-05,0.5,-0.0030666547460338,0.0,0.0,nenhuma,ocr_aceito,2
1.7202574014663696,2.020747888309416e-05,0.5,-0.0007914208860639,0.0,0.0,nenhuma,ocr_aceito,2
2.244157075881958,2.018422310356982e-05,0.5,-0.0019413602005688,0.0,0.0,nenhuma,ocr_aceito,2
2.7680346965789795,2.014570236497093e-05,0.5,-0.0038461130252281,0.0,0.0,nenhuma,ocr_aceito,2
3.2919259071350098,2.0171642972854897e-05,0.5,-0.0025634157577933,0.0,0.0,nenhuma,ocr_aceito,2
3.8157901763916016,2.0163606677670032e-05,0.5,-0.0029607901724576,0.0,0.0,nenhuma,ocr_aceito,2
4.339690685272217,2.017512997554149e-05,0.5,-0.002390992318927,0.0,0.0,nenhuma,ocr_aceito,2
4.863570213317871,2.013078483287245e-05,0.5,-0.0045837471525847,0.0,0.0,nenhuma,ocr_aceito,2
5.387481212615967,2.014700476138387e-05,0.5,-0.0037817128258393,0.0,0.0,nenhuma,ocr_aceito,2
5.9113593101501465,2.012725599342957e-05,0.5,-0.0047582393129398,0.0,0.0,hsv_dilated,ocr_aceito,2
6.435269355773926,2.013934681599494e-05,0.5,-0.0041603788026923,0.0,0.0,nenhuma,ocr_aceito,2
6.95916223526001,2.011810465774033e-05,0.5,-0.0052107496524997,0.0,0.0,nenhuma,ocr_aceito,2
7.483040809631348,2.012630102399271e-05,0.5,-0.0048054601295307,0.0,0.0,nenhuma,ocr_aceito,2
8.006914138793945,2.0138795662205663e-05,0.5,-0.0041876319596962,0.0,0.0,r_raw,ocr_aceito,2
8.530832290649414,2.015687823586632e-05,0.5,-0.0032934945544954,0.0,0.0,nenhuma,ocr_aceito,2
9.054715156555176,2.017681072175037e-05,0.5,-0.002307883681727,0.0,0.0,nenhuma,ocr_aceito,2
9.578591346740724,2.0192217561998405e-05,0.5,-0.0015460545073933,1.0,1.0,r_otsu_dilated,ocr_aceito,2
10.102459907531738,2.023323213506956e-05,0.5,0.0004820121068777,100.0,0.0,nenhuma,fallback_esperado,2
